,sentiment,word,count
0,Negatif,banget,96
1,Negatif,enggak,67
2,Negatif,keren,61
3,Negatif,sudah,40
4,Negatif,sih,39
5,Negatif,ya,36
6,Negatif,yang,35
7,Negatif,tvc,34
8,Negatif,nih,31
9,Negatif,deh,27
10,Negatif,perubahan,24
11,Negatif,saja,24
12,Negatif,kak,19
13,Negatif,benar,18
14,Negatif,gue,18
15,Negatif,gangguan,17
16,Negatif,iya,17
17,Negatif,kayak,17
18,Negatif,berubah,14
19,Negatif,gila,14
20,Negatif,internet,14
21,Negatif,wifi,14
22,Negatif,lemot,13
23,Negatif,jaringan,12
24,Negatif,mati,12
25,Negatif,memang,12
26,Negatif,pakai,12
27,Negatif,tau,12
28,Negatif,kenapa,11
29,Negatif,nya,10
30,Negatif,ini,9
31,Negatif,lagi,9
32,Negatif,lu,9
33,Negatif,min,9
34,Negatif,nomor,9
35,Negatif,dm,8
36,Negatif,lihat,8
37,Negatif,terbaru,8
38,Negatif,bang,7
39,Negatif,begini,7
40,Negatif,error,7
41,Negatif,gua,7
42,Negatif,juga,7
43,Negatif,kalo,7
44,Negatif,loh,7
45,Negatif,parah,7
46,Negatif,setuju,7
47,Negatif,sinyal,7
48,Negatif,babi,6
49,Negatif,bayar,6
50,Negatif,belum,6
51,Negatif,bikin,6
52,Negatif,caper,6
53,Negatif,cek,6
54,Negatif,eh,6
55,Negatif,itu,6
56,Negatif,jam,6
57,Negatif,koneksi,6
58,Negatif,malam,6
59,Negatif,mulu,6
60,Negatif,telkomsel,6
61,Negatif,tuh,6
62,Negatif,wkwk,6
63,Negatif,akses,5
64,Negatif,anjing,5
65,Negatif,arah,5
66,Negatif,asu,5
67,Negatif,ayo,5
68,Negatif,connect,5
69,Negatif,fasilitas,5
70,Negatif,indonesia,5
71,Negatif,informasi,5
72,Negatif,ketinggalan,5
73,Negatif,main,5
74,Negatif,merah,5
75,Negatif,pas,5
76,Negatif,ragu,5
77,Negatif,sama,5
78,Negatif,solusi,5
79,Negatif,tahi,5
80,Negatif,terkini,5
81,Negatif,tolong,5
82,Negatif,ada,4
83,Negatif,anjir,4
84,Negatif,bagaimana,4
85,Negatif,bip,4
86,Negatif,capek,4
87,Negatif,daerah,4
88,Negatif,dari,4
89,Negatif,emosi,4
90,Negatif,halo,4
91,Negatif,hehe,4
92,Negatif,ika,4
93,Negatif,jelas,4
94,Negatif,kah,4
95,Negatif,kali,4
96,Negatif,kemarin,4
97,Negatif,lakukan,4
98,Negatif,langsung,4
99,Negatif,los,4
100,Negatif,loss,4
101,Negatif,mahal,4
102,Negatif,modem,4
103,Negatif,ngelag,4
104,Negatif,orang,4
105,Negatif,segini,4
106,Negatif,susah,4
107,Negatif,tunggal,4
108,Negatif,alias,3
109,Negatif,bagus,3
110,Negatif,barengan,3
111,Negatif,beli,3
112,Negatif,bineka,3
113,Negatif,bisa,3
114,Negatif,bogor,3
115,Negatif,down,3
116,Negatif,harga,3
117,Negatif,harus,3
118,Negatif,ih,3
119,Negatif,jangan,3
120,Negatif,kabel,3
121,Negatif,kakak,3
122,Negatif,karena,3
123,Negatif,keburukan,3
124,Negatif,lampu,3
125,Negatif,lelet,3
126,Negatif,lift,3
127,Negatif,mah,3
128,Negatif,mantap,3
129,Negatif,mohon,3
130,Negatif,ngerank,3
