,sentiment,word,count
0,Negatif,banget,82
1,Negatif,enggak,71
2,Negatif,keren,41
3,Negatif,ya,41
4,Negatif,sih,40
5,Negatif,sudah,40
6,Negatif,saja,29
7,Negatif,tvc,27
8,Negatif,deh,26
9,Negatif,yang,24
10,Negatif,nih,23
11,Negatif,setuju,19
12,Negatif,benar,18
13,Negatif,gue,18
14,Negatif,kak,18
15,Negatif,gangguan,17
16,Negatif,kayak,17
17,Negatif,memang,16
18,Negatif,nya,16
19,Negatif,perubahan,16
20,Negatif,pakai,15
21,Negatif,wifi,15
22,Negatif,internet,14
23,Negatif,jaringan,13
24,Negatif,lemot,13
25,Negatif,mantap,13
26,Negatif,min,13
27,Negatif,terbaru,13
28,Negatif,mati,12
29,Negatif,nomor,11
30,Negatif,bang,10
31,Negatif,kenapa,10
32,Negatif,tuh,10
33,Negatif,jam,9
34,Negatif,lu,9
35,Negatif,gila,8
36,Negatif,gua,8
37,Negatif,ini,8
38,Negatif,lihat,8
39,Negatif,sinyal,8
40,Negatif,bayar,7
41,Negatif,begini,7
42,Negatif,indonesia,7
43,Negatif,lagi,7
44,Negatif,mulu,7
45,Negatif,ada,6
46,Negatif,babi,6
47,Negatif,berubah,6
48,Negatif,caper,6
49,Negatif,daerah,6
50,Negatif,dm,6
51,Negatif,error,6
52,Negatif,itu,6
53,Negatif,kali,6
54,Negatif,kemarin,6
55,Negatif,koneksi,6
56,Negatif,loh,6
57,Negatif,main,6
58,Negatif,malam,6
59,Negatif,merah,6
60,Negatif,parah,6
61,Negatif,pas,6
62,Negatif,tau,6
63,Negatif,telkomsel,6
64,Negatif,tolong,6
65,Negatif,akses,5
66,Negatif,anjing,5
67,Negatif,asli,5
68,Negatif,asu,5
69,Negatif,bikin,5
70,Negatif,coba,5
71,Negatif,connect,5
72,Negatif,fasilitas,5
73,Negatif,halo,5
74,Negatif,informasi,5
75,Negatif,juga,5
76,Negatif,kalo,5
77,Negatif,ketinggalan,5
78,Negatif,orang,5
79,Negatif,sama,5
80,Negatif,sampai,5
81,Negatif,segini,5
82,Negatif,solusi,5
83,Negatif,tahi,5
84,Negatif,terkini,5
85,Negatif,wkwk,5
86,Negatif,anjir,4
87,Negatif,arah,4
88,Negatif,bagaimana,4
89,Negatif,beli,4
90,Negatif,bip,4
91,Negatif,bisa,4
92,Negatif,capek,4
93,Negatif,dari,4
94,Negatif,eh,4
95,Negatif,emosi,4
96,Negatif,hehe,4
97,Negatif,jelas,4
98,Negatif,kah,4
99,Negatif,karena,4
100,Negatif,konsep,4
101,Negatif,lakukan,4
102,Negatif,los,4
103,Negatif,loss,4
104,Negatif,ngelag,4
105,Negatif,rumah,4
106,Negatif,tapi,4
107,Negatif,the,4
108,Negatif,tidur,4
109,Negatif,untung,4
110,Negatif,alias,3
111,Negatif,barengan,3
112,Negatif,belum,3
113,Negatif,bilang,3
114,Negatif,bogor,3
115,Negatif,cakep,3
116,Negatif,cek,3
117,Negatif,dibawa,3
118,Negatif,dipakai,3
119,Negatif,elon,3
120,Negatif,habis,3
121,Negatif,jadi,3
122,Negatif,kakak,3
123,Negatif,keliling,3
124,Negatif,lampu,3
125,Negatif,lelet,3
126,Negatif,lift,3
127,Negatif,mah,3
128,Negatif,mantul,3
129,Negatif,modem,3
130,Negatif,mohon,3
131,Negatif,ngerank,3
132,Negatif,nyata,3
133,Negatif,otto,3
134,Negatif,padahal,3
135,Negatif,restart,3
136,Negatif,sejam,3
137,Negatif,sekarang,3
138,Negatif,siang,3
139,Negatif,signal,3
140,Negatif,takut,3
141,Negatif,teros,3
142,Negatif,terus,3
143,Negatif,tolol,3
144,Negatif,trouble,3
145,Negatif,valo,3
146,Negatif,yaallah,3
147,Negatif,ah,2
148,Negatif,aku,2
149,Negatif,akun,2
150,Negatif,allah,2
151,Negatif,already,2
152,Negatif,an,2
153,Negatif,anak,2
154,Negatif,and,2
155,Negatif,aplikasi,2
156,Negatif,area,2
157,Negatif,ayo,2
158,Negatif,babiiii,2
159,Negatif,bad,2
160,Negatif,bantu,2
161,Negatif,bayangkan,2
162,Negatif,benerin,2
163,Negatif,berapa,2
164,Negatif,berkembang,2
165,Negatif,berlangganan,2
166,Negatif,bermasalah,2
167,Negatif,bersama,2
168,Negatif,best,2
169,Negatif,betull,2
170,Negatif,biznet,2
171,Negatif,btw,2
172,Negatif,buka,2
173,Negatif,bukan,2
174,Negatif,cepat,2
175,Negatif,data,2
176,Negatif,dengar,2
177,Negatif,detail,2
178,Negatif,device,2
179,Negatif,dibayar,2
180,Negatif,dihati,2
181,Negatif,doang,2
182,Negatif,down,2
183,Negatif,hai,2
184,Negatif,harapan,2
185,Negatif,harga,2
186,Negatif,hp,2
187,Negatif,hujan,2
188,Negatif,id,2
189,Negatif,ijo,2
190,Negatif,ika,2
191,Negatif,indihomenya,2
192,Negatif,internetnya,2
193,Negatif,is,2
194,Negatif,iya,2
195,Negatif,jangan,2
196,Negatif,jarak,2
197,Negatif,jelek,2
198,Negatif,jls,2
199,Negatif,kadang,2
200,Negatif,kaget,2
201,Negatif,kalah,2
202,Negatif,kamu,2
203,Negatif,kartu,2
204,Negatif,keaneka,2
